date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:39:12	1167/1167	---M--	200	added ('OK')	image/jpeg	date:Sat,%2020%20Aug%202011%2005:04:27%20GMT	https://secure.gravatar.com/avatar/bc4ab438f7a4ce1c406aadc688427f2c.jpg?s=32	C:/Users/Walton/Desktop/fb/Bootstrap/secure.gravatar.com/avatar/bc4ab438f7a4ce1c406aadc688427f2cc3b8.jpeg	(from https://getbootstrap.com/docs/3.3/about/)
14:39:13	2779/2779	---M--	200	added ('OK')	image/png	date:Thu,%2024%20Sep%202015%2020:44:00%20GMT	https://secure.gravatar.com/avatar/a98244cbdacaf1c0b55499466002f7a8.jpg?s=32	C:/Users/Walton/Desktop/fb/Bootstrap/secure.gravatar.com/avatar/a98244cbdacaf1c0b55499466002f7a8c3b8.png	(from https://getbootstrap.com/docs/3.3/about/)
14:39:13	1440/1440	---M--	200	added ('OK')	image/png	date:Tue,%2028%20Sep%202010%2022:11:48%20GMT	https://secure.gravatar.com/avatar/edec428c425453955f770095a7d26c50.jpg?s=32	C:/Users/Walton/Desktop/fb/Bootstrap/secure.gravatar.com/avatar/edec428c425453955f770095a7d26c50c3b8.png	(from https://getbootstrap.com/docs/3.3/about/)
14:39:13	1200/1200	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Nov%202013%2022:30:45%20GMT	https://secure.gravatar.com/avatar/0f7dd3ce58a416be5685ea6194f82b11.jpg?s=32	C:/Users/Walton/Desktop/fb/Bootstrap/secure.gravatar.com/avatar/0f7dd3ce58a416be5685ea6194f82b11c3b8.jpeg	(from https://getbootstrap.com/docs/3.3/about/)
14:39:14	1298/1298	---M--	200	added ('OK')	image/jpeg	date:Sat,%2013%20Jul%202013%2023:47:40%20GMT	https://secure.gravatar.com/avatar/e37759b1ea0125d4e97b1e00b5eed26f.jpg?s=32	C:/Users/Walton/Desktop/fb/Bootstrap/secure.gravatar.com/avatar/e37759b1ea0125d4e97b1e00b5eed26fc3b8.jpeg	(from https://getbootstrap.com/docs/3.3/about/)
14:39:15	1692586/1692586	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2021%20May%202018%2006:33:49%20GMT	https://getbootstrap.com/docs/3.3/assets/js/customize.min.js	C:/Users/Walton/Desktop/fb/Bootstrap/getbootstrap.com/docs/3.3/assets/js/customize.min.js	(from https://getbootstrap.com/docs/3.3/customize/)
14:39:15	800/800	---M--	200	added ('OK')	image/png	date:Sat,%2012%20May%202012%2018:50:44%20GMT	https://secure.gravatar.com/avatar/0d53f5d3d3d28bd470f394d98f7ef48f.jpg?s=32	C:/Users/Walton/Desktop/fb/Bootstrap/secure.gravatar.com/avatar/0d53f5d3d3d28bd470f394d98f7ef48fc3b8.png	(from https://getbootstrap.com/docs/3.3/about/)
14:39:15	1280/1280	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Apr%202014%2009:21:04%20GMT	https://secure.gravatar.com/avatar/357f279672db832fc41a5a2f36559fcb.jpg?s=32	C:/Users/Walton/Desktop/fb/Bootstrap/secure.gravatar.com/avatar/357f279672db832fc41a5a2f36559fcbc3b8.jpeg	(from https://getbootstrap.com/docs/3.3/about/)
14:39:16	1293/1293	---M--	200	added ('OK')	image/jpeg	date:Tue,%2018%20Oct%202011%2019:59:05%20GMT	https://secure.gravatar.com/avatar/24cd55ab1a62ffb113ab8c02f64c9301.jpg?s=32	C:/Users/Walton/Desktop/fb/Bootstrap/secure.gravatar.com/avatar/24cd55ab1a62ffb113ab8c02f64c9301c3b8.jpeg	(from https://getbootstrap.com/docs/3.3/about/)
14:39:16	1260/1260	---M--	200	added ('OK')	image/jpeg	date:Sun,%2017%20Apr%202016%2003:28:39%20GMT	https://secure.gravatar.com/avatar/729f685b8e8d7e9feed18c177c82e59b.jpg?s=32	C:/Users/Walton/Desktop/fb/Bootstrap/secure.gravatar.com/avatar/729f685b8e8d7e9feed18c177c82e59bc3b8.jpeg	(from https://getbootstrap.com/docs/3.3/about/)
